symbol,OrderType,strategytag,Expiery,ExpieryContract,TradeExpiery,TradeExpieryContract,Timeframe,ContractType,StrikeDistance,EntryLotsize,CalculationType,Tgt1,Tgt1Lotsize,Tgt2,Tgt2Lotsize,Tgt3,Tgt3Lotsize,Sl,SlMove1,SlMove2,MAOFOI,RSIPeriod,RSIValue,MARSI,VolLookBack,MAOFVOl,VolMultiple,StartTime,StopTime,NextEntryTime
BANKNIFTY,MARKET,PRO1,10-01-2024,WEEKLY,10-01-2024,WEEKLY,5minute,ITM,100,45,POINTS,20,15,30,15,50,15,30,30,1,20,14,60,20,3,20,1.5,10:00,23:15,20
NIFTY,MARKET,PRO2,11-01-2024,WEEKLY,11-01-2024,WEEKLY,5minute,ITM,50,150,POINTS,5,50,10,50,15,50,20,20,1,20,14,60,20,3,20,1.5,10:00,23:15,20
