date,open,high,low,close,volume,oi,SYMBOL,MA_VOL,MA_OI,RSI,VWAP
2023-10-30 11:05:00,107.8,114.0,106.05,109.45,45100,1054900,NIFTY23N0919200CE,117595.0,1092920.0,62.5658315101788,86.73983375388244
2023-10-30 11:10:00,109.45,113.0,106.3,106.8,52000,1063650,NIFTY23N0919200CE,100985.0,1080535.0,54.15094153173268,87.0571286995744
2023-10-30 11:15:00,106.8,111.7,104.5,107.8,38100,1071800,NIFTY23N0919200CE,89125.0,1075770.0,56.88616027188469,87.27651622422934
2023-10-30 11:20:00,107.0,114.9,107.0,114.45,24950,1070650,NIFTY23N0919200CE,82955.0,1071535.0,71.17864407439845,87.44575755507009
2023-10-30 11:25:00,114.2,120.1,111.5,118.05,157450,1071750,NIFTY23N0919200CE,91910.0,1067060.0,76.45943284451084,88.64552793377756
2023-10-30 11:30:00,118.05,127.25,117.0,124.9,103850,1102950,NIFTY23N0919200CE,92680.0,1066725.0,83.60450941568145,89.55621649291838
2023-10-30 11:35:00,125.1,125.65,120.3,125.55,72300,1090450,NIFTY23N0919200CE,78780.0,1070175.0,84.17426254622033,90.17645764507625
2023-10-30 11:40:00,125.8,126.3,120.5,125.0,35050,1084200,NIFTY23N0919200CE,73265.0,1072985.0,81.19008508192172,90.4700029771873
2023-10-30 11:45:00,125.0,125.0,117.5,121.3,32400,1081650,NIFTY23N0919200CE,67015.0,1074850.0,62.544252509674294,90.71558496695832
2023-10-30 11:50:00,121.3,123.0,118.75,121.75,18950,1081850,NIFTY23N0919200CE,58015.0,1077385.0,63.807864661307256,90.85694900375633
2023-10-30 11:55:00,121.75,127.75,120.0,126.2,35450,1086100,NIFTY23N0919200CE,57050.0,1080505.0,74.45891050887828,91.14789695887826
2023-10-30 12:00:00,126.55,133.4,125.8,131.4,102600,1072300,NIFTY23N0919200CE,62110.0,1081370.0,82.13740335579365,92.09735153216984
2023-10-30 12:05:00,131.4,132.5,127.2,128.4,57300,1053350,NIFTY23N0919200CE,64030.0,1079525.0,67.50265264735724,92.59661667465447
2023-10-30 12:10:00,128.4,128.5,120.4,122.7,46850,1050950,NIFTY23N0919200CE,66220.0,1077555.0,47.43141819596107,92.93540809089929
2023-10-30 12:15:00,122.7,123.3,108.6,111.7,82950,1068400,NIFTY23N0919200CE,58770.0,1077220.0,27.620287005816945,93.34191749013914
2023-10-30 12:20:00,111.7,122.3,110.9,121.25,47450,1067200,NIFTY23N0919200CE,53130.0,1073645.0,50.19552114145103,93.60617096185217
2023-10-30 12:25:00,121.25,124.15,118.3,121.1,19900,1066200,NIFTY23N0919200CE,47890.0,1071220.0,49.890010108231785,93.72881830372108
2023-10-30 12:30:00,121.1,123.5,112.9,117.65,39150,1064450,NIFTY23N0919200CE,48300.0,1069245.0,42.46014027785361,93.93948356651491
2023-10-30 12:35:00,117.65,125.5,117.65,122.0,40450,1063450,NIFTY23N0919200CE,49105.0,1067425.0,53.39840784655058,94.18620345769014
2023-10-30 12:40:00,122.0,124.25,120.0,124.25,13650,1068100,NIFTY23N0919200CE,48575.0,1066050.0,58.499219448420654,94.27181088427928
2023-10-30 12:45:00,124.25,127.4,122.5,127.4,23650,1066800,NIFTY23N0919200CE,47395.0,1064120.0,65.17068838323996,94.43403881895136
2023-10-30 12:50:00,127.25,129.0,123.75,123.75,44950,1064400,NIFTY23N0919200CE,41630.0,1063330.0,52.86224505510325,94.73522724413242
2023-10-30 12:55:00,123.75,128.2,122.0,127.0,18400,1066150,NIFTY23N0919200CE,37740.0,1064610.0,61.04990586951706,94.85776124747123
2023-10-30 13:00:00,127.0,128.3,123.5,127.4,23350,1067750,NIFTY23N0919200CE,35390.0,1066290.0,62.06366087388445,95.01519936868957
2023-10-30 13:05:00,127.4,127.95,124.2,125.0,19300,1069300,NIFTY23N0919200CE,29025.0,1066380.0,51.92731092063655,95.14134113197372
2023-10-30 13:10:00,124.9,129.0,124.85,126.8,29350,1071550,NIFTY23N0919200CE,27215.0,1066815.0,58.31055685586222,95.33843796830098
2023-10-30 13:15:00,126.6,128.05,124.25,127.0,21050,1071700,NIFTY23N0919200CE,27330.0,1067365.0,59.06547594950677,95.47630130446382
2023-10-30 13:20:00,127.0,132.0,125.55,126.0,51200,1073450,NIFTY23N0919200CE,28535.0,1068265.0,53.06032114766736,95.8216927137598
2023-10-30 13:25:00,126.0,129.3,126.0,126.0,24050,1077300,NIFTY23N0919200CE,26895.0,1069650.0,53.06032114766735,95.97766109273869
2023-10-30 13:30:00,125.9,136.2,123.9,133.45,104250,1088300,NIFTY23N0919200CE,35955.0,1071670.0,78.50251219269646,96.72252974922033
2023-10-30 13:35:00,133.45,136.7,130.05,131.8,47050,1088950,NIFTY23N0919200CE,38295.0,1073885.0,68.25975649062312,97.06424222930299
2023-10-30 13:40:00,131.8,134.7,127.0,129.45,41850,1089000,NIFTY23N0919200CE,37985.0,1076345.0,55.392687560498835,97.34222236620018
2023-10-30 13:45:00,128.95,132.7,126.0,127.7,32150,1087300,NIFTY23N0919200CE,39360.0,1078460.0,47.12398934916795,97.54255862476518
2023-10-30 13:50:00,127.7,128.2,120.5,126.6,51850,1092450,NIFTY23N0919200CE,42210.0,1080930.0,42.177162462670125,97.8227149588905
2023-10-30 13:55:00,126.85,127.35,122.6,126.25,23250,1098500,NIFTY23N0919200CE,42605.0,1083850.0,40.48678637026793,97.94785951523549
2023-10-30 14:00:00,126.25,127.2,118.05,118.05,30300,1097700,NIFTY23N0919200CE,42700.0,1086465.0,18.625638222730142,98.0839759075107
2023-10-30 14:05:00,118.55,124.8,116.65,124.3,31450,1097350,NIFTY23N0919200CE,43740.0,1089030.0,46.26773516990784,98.22852927563063
2023-10-30 14:10:00,124.4,127.0,123.0,124.75,27200,1098150,NIFTY23N0919200CE,41340.0,1091500.0,47.86171435867459,98.36779666436446
2023-10-30 14:15:00,124.75,126.2,120.2,123.55,29350,1100450,NIFTY23N0919200CE,41870.0,1093815.0,43.554835797537024,98.50749224972576
2023-10-30 14:20:00,123.55,126.6,120.5,122.2,35600,1110650,NIFTY23N0919200CE,35005.0,1096050.0,38.662394142418506,98.67338863255232
2023-10-30 14:25:00,122.15,124.0,118.0,121.4,49600,1116200,NIFTY23N0919200CE,35260.0,1098775.0,35.69255363405767,98.88251641808789
2023-10-30 14:30:00,121.4,124.4,120.7,123.5,23300,1117100,NIFTY23N0919200CE,33405.0,1101585.0,48.63820475267443,98.98696587386883
2023-10-30 14:35:00,123.6,126.95,122.7,124.15,48150,1106300,NIFTY23N0919200CE,35005.0,1103485.0,52.34956870602438,99.21541645055325
