date,open,high,low,close,volume,oi,SYMBOL,MA_VOL,MA_OI,RSI,VWAP
2023-10-30 09:15:00,218.45,249.3,218.45,231.75,34050,106100,NIFTY23N0919200PE,,,,233.16666666666666
2023-10-30 09:20:00,231.75,243.5,222.85,238.5,24000,113550,NIFTY23N0919200PE,,,,233.90396210163652
2023-10-30 09:25:00,238.5,244.4,232.35,244.4,16750,114350,NIFTY23N0919200PE,,,,235.35489081996434
2023-10-30 09:30:00,244.4,275.7,244.4,271.1,28650,116700,NIFTY23N0919200PE,,,,243.21416948606412
2023-10-30 09:35:00,271.1,279.0,266.9,268.1,7950,115750,NIFTY23N0919200PE,,,,245.22087821663672
2023-10-30 09:40:00,268.1,285.0,265.0,282.25,12800,116750,NIFTY23N0919200PE,,,93.91227589565639,248.53896269457866
2023-10-30 09:45:00,282.25,285.95,269.5,271.0,11500,117500,NIFTY23N0919200PE,,,69.22097516924958,250.82238393515107
2023-10-30 09:50:00,271.0,283.0,271.0,276.6,7500,120400,NIFTY23N0919200PE,,,73.5483103857729,252.18643505586593
2023-10-30 09:55:00,276.6,280.8,272.1,272.35,3900,121750,NIFTY23N0919200PE,,,64.8931441096285,252.79349082256968
2023-10-30 10:00:00,272.35,278.0,257.15,259.05,14200,122100,NIFTY23N0919200PE,16130.0,116495.0,44.43711623540343,253.8446114899773
2023-10-30 10:05:00,259.05,264.75,255.55,255.75,6900,123450,NIFTY23N0919200PE,13415.0,118230.0,40.479531023325755,254.04310840269522
2023-10-30 10:10:00,255.75,255.75,232.0,237.5,13050,126200,NIFTY23N0919200PE,12320.0,119495.0,25.054433104360964,253.15800459770117
2023-10-30 10:15:00,237.5,243.3,212.6,216.2,101800,133250,NIFTY23N0919200PE,20825.0,121385.0,16.10255716881215,242.68320673614787
2023-10-30 10:20:00,216.2,219.8,202.55,206.65,63450,217200,NIFTY23N0919200PE,24305.0,131435.0,13.416050414508423,236.6373208273208
2023-10-30 10:25:00,206.65,214.2,202.5,204.4,22050,219300,NIFTY23N0919200PE,25715.0,141790.0,12.787737537324386,234.86614208836428
2023-10-30 10:30:00,204.4,205.6,198.05,200.0,19600,219450,NIFTY23N0919200PE,26395.0,152060.0,11.474169122227392,233.16698011936964
2023-10-30 10:35:00,200.0,210.8,200.0,208.7,10350,228600,NIFTY23N0919200PE,26280.0,163170.0,29.398715542751194,232.47437473860307
2023-10-30 10:40:00,208.7,211.15,199.8,200.0,7700,228700,NIFTY23N0919200PE,26300.0,174000.0,23.460832982294036,231.92797472509434
2023-10-30 10:45:00,200.0,200.0,176.1,180.0,39400,227800,NIFTY23N0919200PE,29850.0,184605.0,14.844912954782686,227.81101885098744
2023-10-30 10:50:00,180.0,188.0,179.9,187.8,19300,230500,NIFTY23N0919200PE,30360.0,195445.0,27.77547861734251,226.04343586434356
2023-10-30 10:55:00,187.8,188.0,178.0,186.8,10950,231050,NIFTY23N0919200PE,30765.0,206205.0,27.115633373938984,225.08209169556233
2023-10-30 11:00:00,186.8,196.15,180.6,190.65,15700,231300,NIFTY23N0919200PE,31030.0,216715.0,34.59341465551557,223.93389617875425
2023-10-30 11:05:00,189.65,192.2,181.3,187.6,9550,231300,NIFTY23N0919200PE,21805.0,226520.0,31.402923278289897,223.23064258631013
2023-10-30 11:10:00,187.6,192.1,185.3,191.95,4600,229850,NIFTY23N0919200PE,15920.0,227785.0,41.089231061939245,222.926395755059
2023-10-30 11:15:00,191.95,195.1,186.2,191.25,9450,230400,NIFTY23N0919200PE,14660.0,228895.0,39.95438767449802,222.33798084700248
2023-10-30 11:20:00,191.25,191.4,180.7,182.0,8550,231450,NIFTY23N0919200PE,13555.0,230095.0,27.43730592152276,221.72349786773597
2023-10-30 11:25:00,182.0,185.0,172.3,173.9,31250,241350,NIFTY23N0919200PE,15645.0,231370.0,20.43109086437252,219.2088101030123
2023-10-30 11:30:00,173.8,175.2,163.0,165.0,31200,246800,NIFTY23N0919200PE,17995.0,233180.0,15.126106095369314,216.46883761267026
